t,x,y
1773838630.8224607,0.0,0.0
1773838630.8546224,0.0,0.0
1773838630.8867068,0.0,0.0
1773838630.9218874,0.0,0.0
1773838630.953983,0.0,0.0
1773838630.9890862,0.0,0.0
1773838631.0223687,0.0,0.0
1773838631.054517,0.0,0.0
1773838631.0898197,0.0,0.0
1773838631.1198227,0.0,0.0
1773838631.1540296,0.0,0.0
1773838631.1893592,0.0,0.0
1773838631.2193532,0.0,0.0
1773838631.2547383,0.0,0.0
1773838631.2846792,0.0,0.0
1773838631.3199015,0.0,0.0
1773838631.3541353,0.0,0.0
1773838631.3893988,0.0,0.0
1773838631.4190974,0.0,0.0
1773838631.454703,0.0,0.0
1773838631.484611,0.0,0.0
1773838631.5198638,0.0,0.0
1773838631.5542464,0.0,0.0
1773838631.5894732,0.0,0.0
1773838631.6198437,0.0,0.0
1773838631.6541128,0.0,0.0
1773838631.6895306,0.0,0.0
1773838631.7194855,0.0,0.0
1773838631.7548294,0.0,0.0
1773838631.7891297,0.0,0.0
1773838631.8192637,0.0,0.0
1773838631.8548665,0.0,0.0
1773838631.8890557,0.0,0.0
1773838631.9191632,0.0,0.0
1773838631.9545622,0.0,0.0
1773838631.984564,0.0,0.0
1773838632.019236,0.0,0.0
1773838632.054586,0.0,0.0
1773838632.0844305,0.0,0.0
1773838632.119845,0.0,0.0
1773838632.155183,0.0,0.0
1773838632.1894243,0.0,0.0
1773838632.2194786,0.0,0.0
1773838632.255004,0.0,0.0
1773838632.28896,0.0,0.0
1773838632.3199837,0.0,0.0
1773838632.3542657,0.0,0.0
1773838632.3858423,0.0,0.0
1773838632.4198923,0.0,0.0
1773838632.4542565,0.0,0.0
1773838632.465938,0.0,0.0
1773838632.7995188,0.0,0.0
1773838632.8195603,0.0,0.0
1773838632.8548627,0.0,0.0
1773838632.8890514,0.0,0.0
1773838632.9200244,0.0,0.0
1773838632.9545083,0.0,0.0
1773838632.989161,0.0,0.0
1773838633.0201826,0.0,0.0
1773838633.054675,0.0,0.0
1773838633.089017,0.0,0.0
1773838633.119244,0.0,0.0
1773838633.1549082,0.0,0.0
1773838633.18915,0.0,0.0
1773838633.220183,0.0,0.0
1773838633.2543666,0.0,0.0
1773838633.284269,0.0,0.0
1773838633.3199062,0.0,0.0
1773838633.354314,0.0,0.0
1773838633.3897548,0.0,0.0
1773838633.4198785,0.0,0.0
1773838633.4552288,0.0,0.0
1773838633.4892557,0.0,0.0
1773838633.5194142,0.0,0.0
1773838633.5550008,0.0,0.0
1773838633.5894141,0.0,0.0
1773838633.6192842,0.0,0.0
1773838633.6543348,0.0,0.0
1773838633.6842823,0.0,0.0
1773838633.7197063,0.0,0.0
1773838633.7550142,0.0,0.0
1773838633.7893558,0.0,0.0
1773838633.8193128,0.0,0.0
1773838633.8548334,0.0,0.0
1773838633.8890374,0.0,0.0
1773838633.920129,0.0,0.0
1773838633.9544291,0.0,0.0
1773838633.9843557,0.0,0.0
1773838634.01982,0.0,0.0
1773838634.0552034,0.0,0.0
1773838634.0894635,0.0,0.0
1773838634.1198254,0.0,0.0
1773838634.155237,0.0,0.0
1773838634.1894443,0.0,0.0
1773838634.219693,0.0,0.0
1773838634.2547495,0.0,0.0
1773838634.2889445,0.0,0.0
1773838634.3201122,0.0,0.0
1773838634.354416,0.0,0.0
1773838634.384346,0.0,0.0
1773838634.4198346,0.0,0.0
1773838634.4545655,0.0,0.0
1773838634.4888763,0.0,0.0
1773838634.5200016,0.0,0.0
1773838634.5542693,0.0,0.0
1773838634.5844078,0.0,0.0
1773838634.6198325,0.0,0.0
1773838634.6553268,0.0,0.0
1773838634.684323,0.0,0.0
1773838634.7197087,0.0,0.0
1773838634.7549744,0.0,0.0
1773838634.789299,0.0,0.0
1773838634.8195088,0.0,0.0
1773838634.8548071,0.0,0.0
1773838634.8889427,0.0,0.0
1773838634.9201527,0.0,0.0
1773838634.954968,0.0,0.0
1773838634.9892225,0.0,0.0
1773838635.019427,0.0,0.0
1773838635.054972,0.0,0.0
1773838635.089164,0.0,0.0
1773838635.1194444,0.0,0.0
1773838635.1548233,0.0,0.0
1773838635.1890585,0.0,0.0
1773838635.2198908,0.0,0.0
1773838635.254566,0.0,0.0
1773838635.289235,0.0,0.0
1773838635.3193095,0.0,0.0
1773838635.3546994,0.0,0.0
1773838635.3888311,0.0,0.0
1773838635.4199584,0.0,0.0
1773838635.4553645,0.0,0.0
1773838635.4895735,0.0,0.0
1773838635.519639,0.0,0.0
1773838635.5553377,0.0,0.0
1773838635.5894718,0.0,0.0
1773838635.619577,0.0,0.0
1773838635.6551976,0.0,0.0
1773838635.689318,0.0,0.0
1773838635.7202737,0.0,0.0
1773838635.7544546,0.0,0.0
1773838635.7896888,0.0,0.0
1773838635.8197844,0.0,0.0
1773838635.8544407,0.0,0.0
1773838635.8897424,0.0,0.0
1773838635.9194815,0.0,0.0
1773838635.9547374,0.0,0.0
1773838635.9889648,0.0,0.0
1773838636.0199451,0.0,0.0
1773838636.0552688,0.0,0.0
1773838636.0895224,0.0,0.0
1773838636.119717,0.0,0.0
1773838636.1548827,0.0,0.0
1773838636.1891155,0.0,0.0
1773838636.219369,0.0,0.0
1773838636.2547302,0.0,0.0
1773838636.2891233,0.0,0.0
1773838636.3201616,0.0,0.0
1773838636.3544466,0.0,0.0
1773838636.3844633,0.0,0.0
1773838636.4198322,0.0,0.0
1773838636.4552665,0.0,0.0
1773838636.4895468,0.0,0.0
1773838636.5195227,0.0,0.0
1773838636.554993,0.0,0.0
1773838636.5894012,0.0,0.0
1773838636.6203904,0.0,0.0
1773838636.6549141,0.0,0.0
1773838636.6889184,0.0,0.0
1773838636.7201874,0.0,0.0
1773838636.754442,0.0,0.0
1773838636.785339,0.0,0.0
1773838636.8196874,0.0,0.0
1773838636.854816,0.0,0.0
1773838636.8892524,0.0,0.0
1773838636.9194162,0.0,0.0
1773838636.9548364,0.0,0.0
1773838636.9888778,0.0,0.0
1773838637.020025,0.0,0.0
1773838637.0553923,0.0,0.0
1773838637.0888891,0.0,0.0
1773838637.1199265,0.0,0.0
1773838637.1555266,0.0,0.0
1773838637.1898267,0.0,0.0
1773838637.2213182,0.013545057209911195,-0.00014134947638761396
1773838637.2549388,0.028863222438276374,-0.0004652253987622493
1773838637.2891023,0.04865113033809302,-0.000877760347330553
1773838637.3201425,0.06645629324752379,-0.0011039290751861826
1773838637.3543715,0.08165121146750466,-0.0013372170150137484
1773838637.3898084,0.09887624537062675,-0.0016277544982705348
1773838637.419884,0.11753650099309293,-0.002061233306109102
1773838637.4551525,0.13817325187212154,-0.0027027263024564097
1773838637.489466,0.16146812419655543,-0.003463177134118595
1773838637.5193825,0.1832810482045196,-0.004251360595947238
1773838637.5550382,0.20976541786001873,-0.005289880141537328
1773838637.5894065,0.24142438507508088,-0.006466259351775846
1773838637.6203365,0.26954759770376113,-0.0077880408721367955
1773838637.6545005,0.2970037980882788,-0.009187601150641454
1773838637.6888404,0.32597874456713843,-0.010502758868671708
1773838637.7198951,0.3514626308271006,-0.01170067996281962
1773838637.7551765,0.3813297316911594,-0.013169653046930312
1773838637.789494,0.42971330142212877,-0.015445330634785166
1773838637.8194444,0.4605795491992721,-0.01697607772552347
1773838637.8548145,0.497387882885257,-0.01859244513708298
1773838637.8890746,0.536084175512279,-0.020343855935048172
1773838637.9201756,0.57134050028974,-0.02194481325053774
1773838637.9544148,0.6061324537943167,-0.023377976493175134
1773838637.989785,0.6438117536355914,-0.02509955697716925
1773838638.0197885,0.6782665031208552,-0.026515604954233888
1773838638.0551708,0.7185945625713888,-0.028001776148925475
1773838638.08931,0.7585385931770392,-0.02923300511617117
1773838638.1202784,0.8048180249033625,-0.030701577283880507
1773838638.155367,0.8585180002333991,-0.032510679169090825
1773838638.1896534,0.8946582738803295,-0.03378128590511077
1773838638.219559,0.9289245770003854,-0.03480662649920484
1773838638.2548769,0.9673733723088928,-0.035785865949049915
1773838638.2889936,1.0054651581729324,-0.03671789092411195
1773838638.3202813,1.0335990214750628,-0.037345765189397494
1773838638.3544421,1.0672938659397855,-0.03810634884520932
1773838638.3888288,1.112807271555593,-0.03896665818598306
1773838638.4198804,1.1510544402084495,-0.03983083125184597
1773838638.4552279,1.1923858767346205,-0.04064794787856749
1773838638.4894502,1.2379032223610489,-0.041267715606502275
1773838638.5196207,1.2786556309884145,-0.04210657647798244
1773838638.5548384,1.3168932160321172,-0.04263494762256612
1773838638.5888758,1.3555039897807561,-0.04303954522907136
1773838638.6198816,1.3928475127947093,-0.04365674800379739
1773838638.6552,1.4351750026783492,-0.043622580632853285
1773838638.6895385,1.465257196550184,-0.04374538409362634
1773838638.72058,1.511524009161679,-0.04422523199158065
1773838638.7552953,1.5650862942532053,-0.044125765580281695
1773838638.7896142,1.6016297288063919,-0.0442671123279891
1773838638.8196144,1.6360174418971647,-0.04457681975130223
1773838638.8550217,1.6744286816679637,-0.04434158106077517
1773838638.8893886,1.7124323260741319,-0.04426137011310916
1773838638.9197776,1.7397007039067858,-0.04410502915633479
1773838638.9548903,1.7739704794516282,-0.043627820515776135
1773838638.9891498,1.8270844762907112,-0.043075539493564276
1773838639.0205302,1.8690360309714185,-0.042629187878197694
1773838639.0547738,1.9151895637429401,-0.04186131057033167
1773838639.0890117,1.9479118765141081,-0.04138254098740703
1773838639.1201334,1.9800890967052374,-0.040831061204289094
1773838639.1552315,2.021053059508197,-0.040175509398249126
1773838639.1894965,2.060181680241067,-0.03929804537494383
1773838639.2204487,2.099084956646057,-0.03789450552599439
1773838639.2548175,2.1441720631584755,-0.0364793876899442
1773838639.2890632,2.1898661618987227,-0.03556366537020283
1773838639.3202565,2.227698814797106,-0.0341156924719801
1773838639.3545835,2.27061329557366,-0.03255225895977676
1773838639.3887477,2.304137049999014,-0.03169339299461491
1773838639.4197288,2.336746312424216,-0.0304031218179263
1773838639.4552326,2.380964399234028,-0.028528896341222056
1773838639.488786,2.4214167096327386,-0.02719272093858071
1773838639.5198317,2.4578916782643203,-0.02569343244218588
1773838639.5551624,2.500166128590876,-0.023517761868537164
1773838639.5888467,2.5337065920490485,-0.021886358540250887
1773838639.6201055,2.5798011635897025,-0.019806635615300123
1773838639.6547995,2.632736590555796,-0.01821789872026411
1773838639.6889715,2.6647662649399564,-0.01720978853007993
1773838639.7202716,2.6970840493692116,-0.01585212570859569
1773838639.7545412,2.737301413698772,-0.014451976960882816
1773838639.7890182,2.776739842194848,-0.013681956916519281
1773838639.8203092,2.8169706891743176,-0.013514078138637932
1773838639.8550332,2.8599856235017795,-0.01392213369765622
1773838639.8893507,2.902724520234561,-0.014896709777960407
1773838639.9204254,2.9384814518961866,-0.016623601761050072
1773838639.9547424,2.9787421505432605,-0.019382462715470273
1773838639.9890444,3.012773871450103,-0.022293023660368012
1773838640.020476,3.04521997744883,-0.025844039139860272
1773838640.055257,3.0873765099605364,-0.03159226776648184
1773838640.0889099,3.1266674843928985,-0.037830681843332464
1773838640.1202662,3.1624372044758475,-0.0440673141978981
1773838640.1546779,3.202068614809398,-0.0518704603776778
1773838640.1889727,3.2345121996611907,-0.05929908688518024
1773838640.220009,3.276695511474127,-0.06946703078974333
1773838640.2554016,3.3258722810238295,-0.08252310573929161
1773838640.2896707,3.3546603908064765,-0.09134826231875195
1773838640.3196707,3.382902605053794,-0.10008769257451965
1773838640.3549888,3.4182570020015994,-0.11121450493167696
1773838640.3892262,3.4517887406500978,-0.12263246156780214
1773838640.4204168,3.4905348902964146,-0.13686315437720725
1773838640.4547691,3.531690362307139,-0.15290685972910867
1773838640.4890697,3.572794072758826,-0.17026294741742995
1773838640.520192,3.6036477266319715,-0.18426174274406767
1773838640.5552845,3.63991224023928,-0.2011784725148329
1773838640.5895145,3.665473910902886,-0.21360561649731072
1773838640.6205213,3.6909372815764314,-0.22658650778334774
1773838640.6546474,3.7301675526394127,-0.2477060455957842
1773838640.6889422,3.7680561130064736,-0.26886549086071104
1773838640.7199826,3.8024329842096702,-0.28889052479509425
1773838640.7552361,3.8366439289046297,-0.30997546376332885
1773838640.7896779,3.870288371372809,-0.33152726872972627
1773838640.8203285,3.89121042810026,-0.34590352869049945
1773838640.8547387,3.9175261344140786,-0.3642123911492484
1773838640.8889978,3.964172272253278,-0.3970940537183686
1773838640.9203987,3.9964327400040083,-0.4212724988561242
1773838640.9554653,4.032052072828147,-0.4485585383852975
1773838640.9896631,4.0623860028808965,-0.4734455880824695
1773838641.0196502,4.08922996487653,-0.49605808935260604
1773838641.0550132,4.111733899177532,-0.5155041169525987
1773838641.0892994,4.13489243147476,-0.536507805383018
1773838641.120342,4.166984822448633,-0.5659033596532722
1773838641.15559,4.197679568508111,-0.5954376013917173
1773838641.188805,4.219515712485274,-0.6182128899895065
1773838641.2199588,4.2482076010965875,-0.6470287349821463
