x,y
0.0,0.0
0.0303,0.0
0.0606,0.0
0.0909,0.0
0.1212,0.0
0.1515,0.0
0.1818,0.0
0.2121,0.0
0.2424,0.0
0.2727,0.0
0.303,0.0
0.3333,0.0
0.3636,0.0
0.3939,0.0
0.4242,0.0
0.4545,0.0
0.4848,0.0
0.5152,0.0
0.5455,0.0
0.5758,0.0
0.6061,0.0
0.6364,0.0
0.6667,0.0
0.697,0.0
0.7273,0.0
0.7576,0.0
0.7879,0.0
0.8182,0.0
0.8485,0.0
0.8788,0.0
0.9091,0.0
0.9394,0.0
0.9697,0.0
1.0,0.0
1.0303,0.0
1.0606,0.0
1.0909,0.0
1.1212,0.0
1.1515,0.0
1.1818,0.0
1.2121,0.0
1.2424,0.0
1.2727,0.0
1.303,0.0
1.3333,0.0
1.3636,0.0
1.3939,0.0
1.4242,0.0
1.4545,0.0
1.4848,0.0
1.5152,0.0
1.5455,0.0
1.5758,0.0
1.6061,0.0
1.6364,0.0
1.6667,0.0
1.697,0.0
1.7273,0.0
1.7576,0.0
1.7879,0.0
1.8182,0.0
1.8485,0.0
1.8788,0.0
1.9091,0.0
1.9394,0.0
1.9697,0.0
2.0,0.0
2.0303,0.0
2.0606,0.0
2.0909,0.0
2.1212,0.0
2.1515,0.0
2.1818,0.0
2.2121,0.0
2.2424,0.0
2.2727,0.0
2.303,0.0
2.3333,0.0
2.3636,0.0
2.3939,0.0
2.4242,0.0
2.4545,0.0
2.4848,0.0
2.5152,0.0
2.5455,0.0
2.5758,0.0
2.6061,0.0
2.6364,0.0
2.6667,0.0
2.697,0.0
2.7273,0.0
2.7576,0.0
2.7879,0.0
2.8182,0.0
2.8485,0.0
2.8788,0.0
2.9091,0.0
2.9394,0.0
2.9697,0.0
3.0,0.0
3.0004,-0.055
3.0017,-0.1099
3.0039,-0.1649
3.0069,-0.2198
3.0108,-0.2746
3.0155,-0.3294
3.0211,-0.3841
3.0276,-0.4387
3.0349,-0.4932
3.0431,-0.5475
3.0521,-0.6018
3.062,-0.6558
3.0727,-0.7098
3.0843,-0.7635
3.0967,-0.8171
3.11,-0.8704
3.124,-0.9236
3.139,-0.9765
3.1547,-1.0291
3.1713,-1.0816
3.1887,-1.1337
3.2069,-1.1856
3.2259,-1.2372
3.2458,-1.2884
3.2664,-1.3394
3.2879,-1.39
3.3101,-1.4403
3.3331,-1.4902
3.3569,-1.5398
3.3815,-1.589
3.4068,-1.6378
3.4329,-1.6861
3.4598,-1.7341
3.4874,-1.7816
3.5158,-1.8287
3.5449,-1.8754
3.5747,-1.9216
3.6052,-1.9673
3.6365,-2.0125
3.6684,-2.0572
3.7011,-2.1015
3.7345,-2.1452
3.7685,-2.1883
3.8032,-2.231
3.8386,-2.2731
3.8746,-2.3146
3.9113,-2.3555
3.9486,-2.3959
3.9866,-2.4357
4.0251,-2.4749
4.0643,-2.5134
4.1041,-2.5514
4.1445,-2.5887
4.1854,-2.6254
4.2269,-2.6614
4.269,-2.6968
4.3117,-2.7315
4.3548,-2.7655
4.3985,-2.7989
4.4428,-2.8316
4.4875,-2.8635
4.5327,-2.8948
4.5784,-2.9253
4.6246,-2.9551
4.6713,-2.9842
4.7184,-3.0126
4.7659,-3.0402
4.8139,-3.0671
4.8622,-3.0932
4.911,-3.1185
4.9602,-3.1431
5.0098,-3.1669
5.0597,-3.1899
5.11,-3.2121
5.1606,-3.2336
5.2116,-3.2542
5.2628,-3.2741
5.3144,-3.2931
5.3663,-3.3113
5.4184,-3.3287
5.4709,-3.3453
5.5235,-3.361
5.5764,-3.376
