t,x,y
7.086,-5.374635456790238e-19,0.0
7.12,-5.435193947325939e-19,0.0
7.153,-5.441241510599274e-19,0.0
7.186,-5.490631729715256e-19,0.0
7.22,-5.566363552013639e-19,0.0
7.253,-5.626302775481462e-19,0.0
7.286,-5.705299843915721e-19,0.0
7.32,-5.7898442803146775e-19,0.0
7.353,-5.841583956153249e-19,0.0
7.386,-5.944918674144137e-19,0.0
7.42,-6.026024599173711e-19,0.0
7.453,-6.12508746095208e-19,0.0
7.486,-6.233338807367787e-19,0.0
7.52,-6.281816363430132e-19,0.0
7.552,-6.358012609915369e-19,0.0
7.586,-6.46047025854439e-19,0.0
7.62,-6.550181157695609e-19,0.0
7.6530000000000005,-6.582115871737475e-19,0.0
7.686,-6.6507707574450155e-19,0.0
7.72,-6.722443830269895e-19,0.0
7.753,-6.794118743740219e-19,0.0
7.786,-6.853064005778515e-19,0.0
7.82,-6.944904124783297e-19,0.0
7.853,-7.025285997139252e-19,0.0
7.886,-7.12686143363506e-19,0.0
7.9190000000000005,-7.231668172162364e-19,0.0
7.953,-7.328377350801253e-19,0.0
7.986,-7.405711543477357e-19,0.0
8.02,-7.471542983564298e-19,0.0
8.053,-7.551160322121642e-19,0.0
8.086,-7.631704419222065e-19,0.0
8.12,-7.753981699989374e-19,0.0
8.153,-7.865194423718414e-19,0.0
8.186,-7.956468854144015e-19,0.0
8.22,-8.070244533797673e-19,0.0
8.253,-8.180508619402074e-19,0.0
8.286,-8.281350608119535e-19,0.0
8.32,-8.355381643409385e-19,0.0
8.353,-8.393418254377564e-19,0.0
8.386,-8.489325789812199e-19,0.0
8.42,-8.600519472503239e-19,0.0
8.453,-8.65529233857492e-19,0.0
8.486,-8.741166183000227e-19,0.0
8.52,-8.82407973402981e-19,0.0
8.553,-8.907560105151604e-19,0.0
8.586,-8.95163134445348e-19,0.0
8.62,-8.997325031227959e-19,0.0
8.653,-9.101008186552004e-19,0.0
8.686,-9.205934481552578e-19,0.0
8.719,-9.311097476555133e-19,0.0
8.753,-9.392785745278199e-19,0.0
8.786,-9.49276983403743e-19,0.0
8.82,-9.578303381337523e-19,0.0
8.853,-9.671308567289645e-19,0.0
8.886,-9.79982697344798e-19,0.0
8.919,-9.940524658176528e-19,0.0
8.953,-1.0041139362595695e-18,0.0
8.986,-1.0123221745347125e-18,0.0
9.019,-1.0232428796460573e-18,0.0
9.053,-1.0335705864561257e-18,0.0
9.086,-1.0418304133224889e-18,0.0
9.12,-1.0507562060912236e-18,0.0
9.152,-1.0564874408545006e-18,0.0
9.186,-1.0591216121243312e-18,0.0
9.22,-1.0652132987708182e-18,0.0
9.251,-1.0693656979775053e-18,0.0
9.286,-1.0798517193619998e-18,0.0
9.32,-1.0896184330530502e-18,0.0
9.353,-1.0991360559882548e-18,0.0
9.382,-1.1056465298307464e-18,0.0
9.42,-1.1164253782366118e-18,0.0
9.453,-1.1235375620678214e-18,0.0
9.486,-1.1323575014520705e-18,0.0
9.52,-1.1427351634270973e-18,0.0
9.553,-1.1521623327915011e-18,0.0
9.586,-1.1613082545940963e-18,0.0
9.62,-1.1713284816936122e-18,0.0
9.653,-1.1779715974116906e-18,0.0
9.686,-1.1820952482287077e-18,0.0
9.72,-1.1864433687007927e-18,0.0
9.753,-1.1904744143931567e-18,0.0
9.786,-1.1982370317590198e-18,0.0
9.82,-1.2062613162444922e-18,0.0
9.853,-1.2179714179905588e-18,0.0
9.886,-1.2275312766004093e-18,0.0
9.92,-1.2379849184931413e-18,0.0
9.953,-1.2471389102201474e-18,0.0
9.986,-1.2558779795062645e-18,0.0
10.02,-1.266838050058587e-18,0.0
10.052,-1.2741778173342006e-18,0.0
10.086,-1.2815134047153804e-18,0.0
10.12,-1.2875632385003087e-18,0.0
10.153,-1.2996365585743812e-18,0.0
10.186,-1.3120052377913939e-18,0.0
10.22,-1.3183490562007382e-18,0.0
10.253,-1.3266108417642087e-18,0.0
10.286,-1.331896633011951e-18,0.0
10.32,-1.3411168543172727e-18,0.0
10.353,-1.3488549474824945e-18,0.0
10.386,-1.3566282756246518e-18,0.0
10.42,-1.3684896891307438e-18,0.0
10.453,-1.3732019312926285e-18,0.0
10.486,-1.3739524779524843e-18,0.0
10.52,-1.3811425038095653e-18,0.0
10.553,-1.3863285357366913e-18,0.0
10.586,-1.3874191137420997e-18,0.0
10.62,-1.3954729654226755e-18,0.0
10.653,-1.4054200188284197e-18,0.0
10.686,-1.4227619114095232e-18,0.0
10.72,-1.4371805732797441e-18,0.0
10.753,-1.4456621818801717e-18,0.0
10.786,-1.4521950219826289e-18,0.0
10.82,-1.4562686959683038e-18,0.0
10.853,-1.4653572551724945e-18,0.0
10.886,-1.4701556957407315e-18,0.0
10.919,-1.4733911728478325e-18,0.0
10.953,-1.480790111823675e-18,0.0
10.986,-1.4947325441385075e-18,0.0
11.02,-1.508104411022152e-18,0.0
11.053,-1.5163530814185575e-18,0.0
11.086,-1.5231167359541281e-18,0.0
11.12,-1.5309078699285104e-18,0.0
11.153,-1.5379369076671606e-18,0.0
11.186,-1.5440768823704022e-18,0.0
11.22,-1.553444686247399e-18,0.0
11.253,-1.5597198930593861e-18,0.0
11.286,-1.565623357827783e-18,0.0
11.32,-1.5734488582512953e-18,0.0
11.353,-1.5793737940183366e-18,0.0
11.386,-1.5842930269466119e-18,0.0
11.42,-1.589572514348859e-18,0.0
11.453,-1.6026171299745532e-18,0.0
11.486,-1.612330756115964e-18,0.0
11.52,-1.6163183808888044e-18,0.0
11.553,-1.6192877021343617e-18,0.0
11.586,-1.6292566073330741e-18,0.0
11.62,-1.6379113014619685e-18,0.0
11.653,-1.6465511052521381e-18,0.0
11.686,-1.656797081704566e-18,0.0
11.72,-1.6650361417339237e-18,0.0
11.753,-1.6734867489872013e-18,0.0
11.786,-1.67592089019543e-18,0.0
11.818,-1.681099011542476e-18,0.0
11.853,-1.6889368464245776e-18,0.0
11.886,-1.6968717598669995e-18,0.0
11.92,-1.7017183942035041e-18,0.0
11.953,-1.7095843085384694e-18,0.0
11.986,-1.7143995320676146e-18,0.0
12.02,-1.7238782245252292e-18,0.0
12.053,-1.7361426208654045e-18,0.0
12.086,-1.7464146278163507e-18,0.0
12.12,-1.7575357481682757e-18,0.0
12.153,-1.7682441308186556e-18,0.0
12.186,-1.7764644901962333e-18,0.0
12.218,-1.7898347593645665e-18,0.0
12.253,-1.801462789643476e-18,0.0
12.285,-1.8080758943044083e-18,0.0
12.32,-1.8154812719644676e-18,0.0
12.352,-1.8208406892782008e-18,0.0
12.386,-1.825813970411217e-18,0.0
12.42,-1.8325460501188716e-18,0.0
12.451,-1.8381210474939748e-18,0.0
12.483,-1.8467333342119123e-18,0.0
12.52,-1.8517947369540043e-18,0.0
12.553,-1.858157908751093e-18,0.0
12.586,-1.8640927338476974e-18,0.0
12.62,-1.8726996156333892e-18,0.0
12.65,-1.8750710231014893e-18,0.0
12.682,-1.885645815497534e-18,0.0
12.717,-1.893983026592944e-18,0.0
12.753,-1.9032148898204206e-18,0.0
12.786,-1.911736883502398e-18,0.0
12.82,-1.92024028772117e-18,0.0
12.853,-1.922959281709861e-18,0.0
12.886,-1.9321523216568492e-18,0.0
12.92,-1.9453002716325484e-18,0.0
12.953,-1.9565333469975888e-18,0.0
12.986,-1.9639076115728516e-18,0.0
13.02,-1.969955187590029e-18,0.0
13.053,-1.977416541734418e-18,0.0
13.086,-1.989409119090327e-18,0.0
13.12,-1.9986089307743045e-18,0.0
13.153,-2.0122680027824826e-18,0.0
13.186,-2.0199014955105317e-18,0.0
13.22,-2.0258858574306535e-18,0.0
13.253,-2.032447250257395e-18,0.0
13.286,-2.0356911185407982e-18,0.0
13.32,-2.04446488550066e-18,0.0
13.353,-2.0556965552560702e-18,0.0
13.386,-2.0653093828434456e-18,0.0
13.42,-2.0781671035366416e-18,0.0
13.453,-2.0870874981602818e-18,0.0
13.486,-2.0938977164961368e-18,0.0
13.52,-2.0992044648125647e-18,0.0
13.553,-2.1081700491327968e-18,0.0
13.586,-2.1177195220093406e-18,0.0
13.62,-2.1275613017671725e-18,0.0
13.653,-2.137949815443791e-18,0.0
13.686,-2.1468839829810523e-18,0.0
13.72,-2.155889428069364e-18,0.0
13.753,-2.1635379623745843e-18,0.0
13.786,-2.1743809284097753e-18,0.0
13.82,-2.1872642048448884e-18,0.0
13.853,-2.1982036571524366e-18,0.0
13.886,-2.2088378737942153e-18,0.0
13.92,-2.218974060640484e-18,0.0
13.953,-2.233251810029299e-18,0.0
13.986,-2.2456504329954287e-18,0.0
14.02,-2.25504449329685e-18,0.0
14.053,-2.268740755197033e-18,0.0
14.086,-2.279062758142789e-18,0.0
14.12,-2.289870464810554e-18,0.0
14.153,-2.3021722041094586e-18,0.0
14.186,-2.31226764581764e-18,0.0
14.22,-2.3278042303433957e-18,0.0
14.253,-2.3390429887551513e-18,0.0
14.286,-2.3475438566656685e-18,0.0
14.32,-2.3547874604529733e-18,0.0
14.353,-2.3609081787661196e-18,0.0
14.386,-2.3698211085628113e-18,0.0
14.42,-2.3819164877364146e-18,0.0
14.453,-2.391632094786043e-18,0.0
14.486,-2.4030414376370857e-18,0.0
14.52,-2.4145003757876023e-18,0.0
14.553,-2.425020962951623e-18,0.0
14.586,-2.4319522471900625e-18,0.0
14.62,-2.440232545375811e-18,0.0
14.653,-2.449859430419398e-18,0.0
14.686,-2.4571852330329703e-18,0.0
14.72,-2.4649144115684766e-18,0.0
14.753,-2.473446058415993e-18,0.0
14.786,-2.480273169782999e-18,0.0
14.82,-2.4923591035953633e-18,0.0
14.853,-2.5040303209865177e-18,0.0
14.886,-2.5109543949213306e-18,0.0
14.92,-2.523037713045217e-18,0.0
14.953,-2.53156056843514e-18,0.0
14.986,-2.539076299479927e-18,0.0
15.02,-2.549072098885912e-18,0.0
15.053,-2.55595158383554e-18,0.0
15.086,-2.565735163267099e-18,0.0
15.12,-2.5764448549939007e-18,0.0
15.153,-2.587940493593257e-18,0.0
15.186,-2.5951765040534602e-18,0.0
15.22,-2.6017464898682567e-18,0.0
15.253,-2.608166260951821e-18,0.0
15.286,-2.6162904596285075e-18,0.0
15.32,-2.625191962437599e-18,0.0
15.353,-2.6400795671697646e-18,0.0
15.386,-2.648470314848611e-18,0.0
15.419,-2.6600102746299285e-18,0.0
15.453,-2.6681223012561645e-18,0.0
15.486,-2.677676725804567e-18,0.0
15.519,-2.6914649223776993e-18,0.0
15.552,-2.698120120592785e-18,0.0
15.585,-2.7056819708755532e-18,0.0
15.619,-2.7158287961633883e-18,0.0
15.653,-2.7244234188875364e-18,0.0
15.686,0.009022202081380012,9.74108485786564e-08
15.719,0.028556363864333953,1.0928997253868733e-06
15.752,0.055185173502391965,3.6739363353267572e-06
15.785,0.08772924683316723,8.20186817285312e-06
15.82,0.12533790844525544,1.5061890520255837e-05
15.851,0.16257613627378734,2.3033543182954817e-05
15.886,0.20263541711017485,3.2421144773271645e-05
15.917,0.2409745402111877,4.168677973782741e-05
15.953,0.2822206537310328,5.170458191467975e-05
15.986,0.3224766476182886,6.118504214769869e-05
16.017,0.36087951010325237,6.981998481927965e-05
16.053,0.40201739133085945,7.840963249635129e-05
16.086,0.44217618288022,8.606192749849867e-05
16.12,0.48259556376017954,9.294720027658914e-05
16.153,0.5225059595192378,9.894141127299206e-05
16.183,0.5600439544936731,0.0001039279357814304
16.22,0.6015670859666116,0.00010863757961322929
16.253,0.6419169870973939,0.00011252043579798905
16.286,0.6817787159596804,0.00011572984253865975
16.32,0.7220321044033826,0.0001183567105218056
16.353,0.7618706085597448,0.00012038520352037588
16.386,0.8015286395438713,0.00012189715741784483
16.42,0.8417078500096828,0.000122937586537875
16.453,0.8815167190630424,0.00012351175873559375
16.486,0.9211751581671803,0.00012369300138642832
16.52,0.9613728415761973,0.00012350033571916316
16.553,1.0011909780437074,0.00012296072550871826
16.586,1.0408667849449165,0.00012223912851530046
16.62,1.0811017102478035,0.00012137038943836034
16.653,1.1209430875553323,0.00012031480439800928
16.686,1.1606404890502506,0.00011917369477021234
16.72,1.2009066074481434,0.00011794646013526507
16.753,1.2407587877758852,0.00011659162917713407
16.786,1.2804606765649913,0.00011517966271179956
16.82,1.3207393891118486,0.00011370207653584058
16.853,1.3606019681841048,0.00011213682739220337
16.886,1.4003062134536421,0.00011053382478795055
16.92,1.440602804374903,0.00010888867000307165
16.953,1.4804742388991596,0.00010724208537535743
16.986,1.5201822680583148,0.00010559335889327426
17.02,1.560493340354765,0.00010391585488554744
17.053,1.6001797768429789,0.00010213752991448534
17.086,1.6397772094301688,9.989743700441976e-05
17.12,1.6800515449077795,9.720284205062173e-05
17.153,1.7197494868075591,9.404535498459658e-05
17.186,1.7593632536013175,9.009402283062385e-05
17.22,1.7996697485730702,8.54453738204904e-05
17.253,1.8394051781859142,8.004720779315213e-05
17.286,1.8790432469614446,7.321370799452746e-05
17.32,1.919374735158729,6.451622588835059e-05
17.353,1.959141153683873,5.3094960171225504e-05
17.386,1.9987901111356354,3.6663040259651784e-05
17.42,2.0391291051088025,1.1847627063136207e-05
17.453,2.078901019978118,-2.5440548868720148e-05
17.486,2.118550805141472,-8.359772840262509e-05
17.52,2.1588901000712735,-0.00017651321045293077
17.553,2.1986343502300523,-0.00031743734064248623
17.586,2.2382736429844474,-0.0005330627875192529
17.62,2.278601276151546,-0.0008672118778255626
17.653,2.318241632525578,-0.0013563004958951825
17.686,2.357752787201573,-0.002068861610670153
17.72,2.3978214968103773,-0.0031019047024169653
17.753,2.43708343139852,-0.0044859291327332025
17.786,2.4760366285736968,-0.006309421530669254
17.82,2.515326981627686,-0.008690541785597715
17.853,2.553608619934429,-0.011603077977083463
17.886,2.591434345177053,-0.015145594045822941
17.92,2.629397318588502,-0.019458552598235625
17.953,2.6661026179120415,-0.024415496288848818
17.986,2.7017298629921243,-0.030059679175765287
18.02,2.737237547918987,-0.0366104474639449
