t,x,y
9.965,-1.1389533702816408e-18,0.0
9.998,-1.1455702550813836e-18,0.0
10.032,-1.1547724328019788e-18,0.0
10.065,-1.1630199228824083e-18,0.0
10.098,-1.169482637856949e-18,0.0
10.132,-1.1792230819094263e-18,0.0
10.165,-1.1874201148918287e-18,0.0
10.198,-1.1912822656540323e-18,0.0
10.232,-1.198620787126815e-18,0.0
10.265,-1.2026106319108657e-18,0.0
10.298,-1.205409188420891e-18,0.0
10.332,-1.2139896807777247e-18,0.0
10.366,-1.2217680158268183e-18,0.0
10.398,-1.2316004610032578e-18,0.0
10.432,-1.2414231328315764e-18,0.0
10.465,-1.2510383271282187e-18,0.0
10.498,-1.265442151605381e-18,0.0
10.531,-1.2764128550007171e-18,0.0
10.565,-1.2888583565107195e-18,0.0
10.598,-1.2968786187891978e-18,0.0
10.632,-1.3057666210107694e-18,0.0
10.665,-1.3143009080488654e-18,0.0
10.698,-1.3249389082694004e-18,0.0
10.732,-1.33583881925063e-18,0.0
10.765,-1.3442263820750022e-18,0.0
10.799,-1.353181664383766e-18,0.0
10.832,-1.361459924743926e-18,0.0
10.865,-1.3743310311192532e-18,0.0
10.898,-1.381330112370206e-18,0.0
10.932,-1.3870636229556434e-18,0.0
10.965,-1.396627726625759e-18,0.0
10.998,-1.4107072330450251e-18,0.0
11.032,-1.4226756454252862e-18,0.0
11.065,-1.4327757455605236e-18,0.0
11.097,-1.4410171849149058e-18,0.0
11.13,-1.4495147505212992e-18,0.0
11.163,-1.455274576599093e-18,0.0
11.198,-1.46539662202272e-18,0.0
11.232,-1.4743161937184442e-18,0.0
11.263,-1.4832917578989989e-18,0.0
11.297,-1.4942230660082448e-18,0.0
11.332,-1.4986524924769984e-18,0.0
11.363,-1.5029965309674908e-18,0.0
11.395,-1.5097761686196614e-18,0.0
11.432,-1.5181731367810178e-18,0.0
11.465,-1.5243301144306116e-18,0.0
11.498,-1.5345159353671374e-18,0.0
11.532,-1.544573335580537e-18,0.0
11.565,-1.556670440845136e-18,0.0
11.594,-1.5661728340168673e-18,0.0
11.632,-1.5755139237056326e-18,0.0
11.665,-1.58372345942958e-18,0.0
