t,x,y
22.266,-4.2916778218369895e-18,0.0
22.299,-4.2993351872653435e-18,0.0
22.333,-4.307369926966436e-18,0.0
22.366,-4.3212631585110046e-18,0.0
22.399,-4.331097923451435e-18,0.0
22.433,-4.3460056825572164e-18,0.0
22.466,-4.355820316242663e-18,0.0
22.499,-4.365680148045859e-18,0.0
22.533,-4.373499096034413e-18,0.0
22.566,-4.379885169263719e-18,0.0
22.599,-4.3875296257158685e-18,0.0
22.633,-4.3977890398268336e-18,0.0
22.666,-4.406313339353215e-18,0.0
22.699,-4.412690016074441e-18,0.0
22.733,-4.420927150988583e-18,0.0
22.766,-4.43070419733865e-18,0.0
22.799,-4.435015920890253e-18,0.0
22.833,-4.437338172320405e-18,0.0
22.865,-4.4455581763786366e-18,0.0
22.899,-4.4498801062322144e-18,0.0
22.933,-4.4576713938509265e-18,0.0
22.966,-4.469805585335623e-18,0.0
22.999,-4.479189634102944e-18,0.0
23.033,-4.489972203571524e-18,0.0
23.066,-4.501452795426059e-18,0.0
23.099,-4.506862415041874e-18,0.0
23.133,-4.514251805456556e-18,0.0
23.166,-4.524746774361153e-18,0.0
23.199,-4.533556623454244e-18,0.0
23.233,-4.543742695962572e-18,0.0
23.266,-4.5559855616635156e-18,0.0
23.299,-4.5627015601878064e-18,0.0
23.333,-4.5735083036529514e-18,0.0
23.366,-4.580616606745603e-18,0.0
23.399,-4.589318223778065e-18,0.0
23.433,-4.5972807471600475e-18,0.0
23.466,-4.609269408612287e-18,0.0
23.499,-4.622017122478415e-18,0.0
23.533,-4.631269116910299e-18,0.0
23.566,-4.640392578887041e-18,0.0
23.599,-4.646631324469403e-18,0.0
23.633,-4.655080246928881e-18,0.0
23.666,-4.663782803743782e-18,0.0
23.699,-4.676438771745066e-18,0.0
23.733,-4.686256684526944e-18,0.0
23.766,-4.695022467452392e-18,0.0
23.799,-4.70284097510699e-18,0.0
23.833,-4.7052670098872535e-18,0.0
23.866,-4.712064359443942e-18,0.0
23.899,-4.7177602199409685e-18,0.0
23.933,-4.727492734442633e-18,0.0
23.966,-4.737470713087008e-18,0.0
23.999,-4.74265217876182e-18,0.0
24.032,-4.748806077491011e-18,0.0
24.066,-4.756216710856625e-18,0.0
24.099,-4.765909038662271e-18,0.0
24.133,-4.775003200710287e-18,0.0
24.166,-4.787227725837391e-18,0.0
24.199,-4.798108099703015e-18,0.0
24.232,-4.809210002331493e-18,0.0
24.266,-4.818937026543073e-18,0.0
24.299,-4.827757874985575e-18,0.0
24.331,-4.837100285111531e-18,0.0
24.364,-4.847008596363139e-18,0.0
24.398,-4.864814824877368e-18,0.0
24.431,-4.8766844327450036e-18,0.0
24.464,-4.884974440132017e-18,0.0
24.498,-4.891364420671139e-18,0.0
24.533,-4.898456327448406e-18,0.0
24.566,-4.9054330694513505e-18,0.0
24.597,-4.9117789380432325e-18,0.0
24.633,-4.923154629971236e-18,0.0
24.666,-4.93329983703329e-18,0.0
24.699,-4.9435305777674184e-18,0.0
24.733,-4.94989144874861e-18,0.0
24.766,-4.95519773119537e-18,0.0
24.799,-4.9614326958835944e-18,0.0
24.833,-4.97065378255186e-18,0.0
24.866,-4.977727771990011e-18,0.0
24.899,-4.9844550713458594e-18,0.0
24.933,-4.991596331265857e-18,0.0
24.966,-5.003852552033055e-18,0.0
24.999,-5.011897789563663e-18,0.0
25.033,-5.019173702621522e-18,0.0
25.066,-5.022253529880201e-18,0.0
25.099,-5.025580496218911e-18,0.0
25.133,-5.0299231760420155e-18,0.0
25.166,-5.0352501464798354e-18,0.0
25.199,-5.039966312628283e-18,0.0
25.233,-5.047359733496288e-18,0.0
25.266,-5.05536040355208e-18,0.0
25.299,-5.068964761582271e-18,0.0
25.333,-5.0803076390662506e-18,0.0
25.366,-5.089821763593808e-18,0.0
25.399,-5.0977697643140195e-18,0.0
25.434,-5.1078527586838625e-18,0.0
25.466,-5.118919343229354e-18,0.0
25.499,-5.131182680107837e-18,0.0
25.533,-5.141265412860253e-18,0.0
25.566,-5.151737847028629e-18,0.0
25.599,-5.1578556523107324e-18,0.0
25.633,-5.163157033369865e-18,0.0
25.666,-5.169135363762518e-18,0.0
25.699,-5.175449743360651e-18,0.0
25.733,-5.18426662894747e-18,0.0
25.766,-5.192119015734949e-18,0.0
25.799,-5.201326005603587e-18,0.0
25.833,-5.209566089455462e-18,0.0
25.866,-5.215645353698231e-18,0.0
25.899,-5.224815696002808e-18,0.0
25.933,-5.231297464790921e-18,0.0
25.966,-5.240061777613547e-18,0.0
25.999,-5.250245631143158e-18,0.0
26.033,-5.261837449340761e-18,0.0
26.066,-5.265826479882533e-18,0.0
26.099,-5.2708337020320776e-18,0.0
26.133,-5.277484541560484e-18,0.0
26.166,-5.2875333807901646e-18,0.0
26.199,-5.297580260680367e-18,0.0
26.233,-5.310466195111497e-18,0.0
26.266,-5.321370671147641e-18,0.0
26.299,-5.329645909898909e-18,0.0
26.333,-5.336183048141686e-18,0.0
26.366,-5.338719317756565e-18,0.0
26.399,-5.343980773770983e-18,0.0
26.433,-5.34971983892773e-18,0.0
26.466,-5.3557996916194175e-18,0.0
26.499,-5.363743231747594e-18,0.0
26.533,-5.374895003369085e-18,0.0
26.566,-5.389961315843983e-18,0.0
26.599,-5.396933920458677e-18,0.0
26.633,-5.406126659955674e-18,0.0
26.666,-5.4158485739905025e-18,0.0
26.699,-5.423055896659366e-18,0.0
26.733,-5.428907535807377e-18,0.0
26.766,-5.436677281553988e-18,0.0
26.799,-5.445267802128646e-18,0.0
26.833,-5.458164223854575e-18,0.0
26.866,-5.468375204033685e-18,0.0
26.899,-5.478830118366332e-18,0.0
26.933,-5.49324131348235e-18,0.0
26.966,-5.498988381030674e-18,0.0
26.999,-5.507532493975434e-18,0.0
27.033,-5.5154201757568386e-18,0.0
27.066,-5.525826321940717e-18,0.0
27.099,-5.531468746033858e-18,0.0
27.133,-5.543049567575964e-18,0.0
27.166,-5.548157952570072e-18,0.0
27.199,-5.5599858423009954e-18,0.0
27.233,-5.562257547349222e-18,0.0
27.266,-5.5671142616808265e-18,0.0
27.299,-5.573783849827322e-18,0.0
27.333,-5.582619327528261e-18,0.0
27.366,-5.585345257211795e-18,0.0
27.399,-5.5929627807590975e-18,0.0
27.433,-5.601857933357847e-18,0.0
27.466,-5.6078847751739445e-18,0.0
27.499,-5.614612355663197e-18,0.0
27.533,-5.622162777236187e-18,0.0
27.565,-5.631456695549528e-18,0.0
27.598,-5.64061969858877e-18,0.0
27.632,-5.645166822277729e-18,0.0
27.666,-5.648904929841597e-18,0.0
27.699,0.00814611536845931,0.0
27.733,0.02810124044347211,0.0
27.765,0.054450955033344434,0.0
27.796,0.08381275690275637,0.0
27.833,0.11852418889841224,0.0
27.865,0.15451725362713248,0.0
27.898,0.1925563800713869,0.0
27.931,0.2314409074859376,0.0
27.966,0.27205973138517975,0.0
27.996,0.30942967225739126,0.0
28.033,0.35087060234152934,0.0
28.066,0.3909872260930934,0.0
28.095,0.4278791143673955,0.0
28.133,0.469860095306069,0.0
28.166,0.5103917390418626,0.0
28.199,0.5503642200511346,0.0
28.233,0.5904346449406921,0.0
28.266,0.630165022420688,0.0
28.299,0.669587143511799,0.0
28.333,0.7098102071616121,0.0
28.366,0.7496278993976553,0.0
28.399,0.788855901570274,0.0
28.433,0.8289449478088515,0.0
28.466,0.8685212015227672,0.0
28.499,0.9080854960860439,0.0
28.533,0.9483795903978823,0.0
28.566,0.9878444774667965,0.0
28.599,1.027342979781904,0.0
28.633,1.0674307812575767,0.0
28.666,1.1072037434159103,0.0
28.699,1.1468726270382392,0.0
28.733,1.1868193852558537,0.0
28.766,1.2265147604409232,0.0
28.799,1.2659839621356264,0.0
28.833,1.3062147738712109,0.0
28.866,1.3460663558298105,0.0
28.899,1.3854149830606435,0.0
28.933,1.4255693888288645,0.0
28.966,1.465246707556807,0.0
28.999,1.5048559846072878,0.0
29.033,1.545178790727169,0.0
29.066,1.5847405603461562,0.0
29.099,1.6242753244196757,0.0
29.133,1.6644537686914167,0.0
29.166,1.7042711728747606,0.0
29.199,1.7439585764438117,0.0
29.233,1.7840015963956288,0.0
29.266,1.8237230106168236,0.0
29.299,1.8632769749318463,0.0
29.333,1.9029855166040708,0.0
29.366,1.9424379029930667,0.0
29.399,1.9816210892713357,0.0
29.433,2.0217109275976677,0.0
29.466,2.06144564423277,0.0
29.499,2.1006020015682796,0.0
29.533,2.1406315974293646,0.0
29.566,2.180135114781687,0.0
29.599,2.2196570047816966,0.0
29.633,2.259918759779195,0.0
29.666,2.2993729728436207,0.0
29.699,2.3388192147837032,0.0
29.733,2.3788582373990304,0.0
29.766,2.41858814960959,0.0
29.799,2.458239548766426,0.0
29.833,2.4982058971260486,0.0
29.866,2.537853138797887,0.0
29.899,2.5772918162925036,0.0
29.933,2.6175332329999264,0.0
29.966,2.657389588287619,0.0
29.999,2.6967534406678584,0.0
30.033,2.736949617242414,0.0
30.066,2.776647956362498,0.0
30.099,2.8162634124092976,0.0
30.133,2.8565902205197276,0.0
30.166,2.896175706551759,0.0
30.199,2.9356828952545655,0.0
30.233,2.9758233407132524,0.0
