t,x,y
6.893,-4.435468651003921e-19,0.0
6.926,-4.519142052414667e-19,0.0
6.96,-4.618124836097095e-19,0.0
6.993,-4.731250275628539e-19,0.0
7.026,-4.814922558213442e-19,0.0
7.06,-4.915301133166545e-19,0.0
7.093,-4.978646616112449e-19,0.0
7.126,-5.082463596668919e-19,0.0
7.16,-5.18290649115625e-19,0.0
7.193,-5.283178852612343e-19,0.0
7.226,-5.365949656301842e-19,0.0
7.26,-5.442897840717468e-19,0.0
7.293,-5.523548273025554e-19,0.0
7.326,-5.598579476694554e-19,0.0
7.36,-5.655887726486266e-19,0.0
7.393,-5.757143586756158e-19,0.0
7.426,-5.809330389452588e-19,0.0
7.46,-5.86831289592062e-19,0.0
7.493,-5.90993407663796e-19,0.0
7.526,-5.974779277321201e-19,0.0
7.5600000000000005,-6.079916041391432e-19,0.0
7.593,-6.189980570492156e-19,0.0
7.626,-6.303498434323663e-19,0.0
7.66,-6.411930120160092e-19,0.0
7.693,-6.479285220759227e-19,0.0
7.726,-6.541230317694424e-19,0.0
7.76,-6.627396516607472e-19,0.0
7.793,-6.668832031944516e-19,0.0
7.8260000000000005,-6.704880377394993e-19,0.0
7.859,-6.760782846500144e-19,0.0
7.893,-6.826146051071849e-19,0.0
7.926,-6.92135782111372e-19,0.0
7.96,-7.00060732852928e-19,0.0
7.993,-7.095723080702933e-19,0.0
8.026,-7.216563094287357e-19,0.0
8.06,-7.312613801952123e-19,0.0
8.093,-7.397013400804129e-19,0.0
8.126,-7.545588019357872e-19,0.0
8.16,-7.626131429047325e-19,0.0
8.193,-7.709859065845775e-19,0.0
8.226,-7.777994036285699e-19,0.0
8.26,-7.867778099318785e-19,0.0
8.293,-7.979325751947958e-19,0.0
8.326,-8.042780592661305e-19,0.0
8.36,-8.124940550859284e-19,0.0
8.393,-8.186421778328566e-19,0.0
8.426,-8.309686293179763e-19,0.0
8.459,-8.441857533317036e-19,0.0
8.493,-8.546282374369773e-19,0.0
8.526,-8.662255658626294e-19,0.0
8.56,-8.792934259875745e-19,0.0
8.592,-8.886575970254258e-19,0.0
8.626,-8.958933436192776e-19,0.0
8.66,-9.09457119004346e-19,0.0
8.692,-9.186249929250336e-19,0.0
8.725,-9.273074668950385e-19,0.0
8.757,-9.369364061164443e-19,0.0
8.79,-9.454989673926342e-19,0.0
8.826,-9.554193180284014e-19,0.0
8.859,-9.704566570143488e-19,0.0
8.892,-9.751014118561206e-19,0.0
8.926,-9.85639831247997e-19,0.0
8.96,-9.948532097487992e-19,0.0
8.993,-1.000578198937085e-18,0.0
9.023,-1.0088663803186305e-18,0.0
9.061,-1.018406403023752e-18,0.0
9.093,-1.0230356809757753e-18,0.0
9.126,-1.0324311050654844e-18,0.0
9.16,-1.041751693496342e-18,0.0
9.194,-1.0503032785360077e-18,0.0
9.226,-1.061308544076208e-18,0.0
9.26,-1.0724271969589537e-18,0.0
9.293,-1.0831425349889036e-18,0.0
9.326,-1.090202892302732e-18,0.0
9.36,-1.0967592219013143e-18,0.0
9.393,-1.0985291803894842e-18,0.0
9.426,-1.1017533430284906e-18,0.0
9.46,-1.1088154769642913e-18,0.0
9.493,-1.1227950676739221e-18,0.0
9.526,-1.1367694616652194e-18,0.0
9.56,-1.1504157894404395e-18,0.0
9.593,-1.1638110909343648e-18,0.0
9.626,-1.1721875637797991e-18,0.0
9.66,-1.1812462421198308e-18,0.0
9.693,-1.1912142946997646e-18,0.0
9.726,-1.2016978992885508e-18,0.0
9.759,-1.2111012558196128e-18,0.0
9.793,-1.2210209504942046e-18,0.0
9.826,-1.2281387686082438e-18,0.0
9.86,-1.2370003100434837e-18,0.0
9.893,-1.2408552424035876e-18,0.0
9.926,-1.2499280183571584e-18,0.0
9.96,-1.2555791263691518e-18,0.0
9.993,-1.2682172968645822e-18,0.0
10.026,-1.2774926805362344e-18,0.0
10.06,-1.2825694113920205e-18,0.0
10.093,-1.2905850601511115e-18,0.0
10.126,-1.293039522837497e-18,0.0
10.16,-1.300880439722131e-18,0.0
10.193,-1.3103540726578065e-18,0.0
10.226,-1.3189568868034616e-18,0.0
10.26,-1.3282504383830621e-18,0.0
10.293,-1.3353691744579955e-18,0.0
10.326,-1.3422302937900482e-18,0.0
10.36,-1.3497110393685093e-18,0.0
10.393,-1.3565118681450235e-18,0.0
10.426,-1.3655950321736888e-18,0.0
10.46,-1.3750191035273754e-18,0.0
10.493,-1.385078619632214e-18,0.0
10.526,-1.3968327672312782e-18,0.0
10.56,-1.4076329280398607e-18,0.0
10.593,-1.420071984546709e-18,0.0
10.626,-1.429377419767083e-18,0.0
10.66,-1.437003674013957e-18,0.0
10.693,-1.440093374986157e-18,0.0
10.726,-1.4472913068267232e-18,0.0
10.76,-1.4601763115735536e-18,0.0
10.793,-1.4694622671661037e-18,0.0
10.827,-1.479021654712835e-18,0.0
10.86,-1.4875727324528121e-18,0.0
10.893,-1.4964835511661335e-18,0.0
10.926,-1.5062578293792665e-18,0.0
10.96,-1.5188062859281763e-18,0.0
10.993,-1.5233739839739436e-18,0.0
11.026,-1.535520292658471e-18,0.0
11.06,-1.5465783183338e-18,0.0
11.093,-1.5572466603748879e-18,0.0
11.126,-1.5696739497050798e-18,0.0
11.16,-1.5819803827005064e-18,0.0
11.193,-1.5891320497953242e-18,0.0
11.226,-1.5950823346560394e-18,0.0
11.26,-1.6040049905057897e-18,0.0
11.293,-1.6077483431052697e-18,0.0
11.326,-1.6123113102843673e-18,0.0
11.36,-1.616705264892805e-18,0.0
11.393,-1.6198783104204514e-18,0.0
11.426,-1.6234323880684721e-18,0.0
11.46,-1.6304193405956865e-18,0.0
11.493,-1.6377016064173502e-18,0.0
11.526,-1.646045514286734e-18,0.0
11.56,-1.6553599449965724e-18,0.0
11.593,-1.6630724447376277e-18,0.0
11.625,-1.6707350709802886e-18,0.0
11.66,-1.679559183150138e-18,0.0
11.693,-1.6817048641437573e-18,0.0
11.726,-1.6897806955630172e-18,0.0
